scientific_name,common_name,version_year,region_name,season_name,start_dt,end_dt,Percent of the total population,State Latitude,State Longitude
Charadrius vociferus,Killdeer,2019,Alberta,breeding,4/26/18,6/28/18,0.0266,55,-115
Charadrius vociferus,Killdeer,2019,Alberta,nonbreeding,12/21/18,1/25/18,0,55,-115
Charadrius vociferus,Killdeer,2019,Alberta,postbreeding_migration,7/13/18,12/14/18,0.0143,55,-115
Charadrius vociferus,Killdeer,2019,Alberta,prebreeding_migration,2/1/18,4/19/18,0.0058,55,-115
Charadrius vociferus,Killdeer,2019,British Columbia,breeding,4/26/18,6/28/18,0.0037,53.726669,-127.647621
Charadrius vociferus,Killdeer,2019,British Columbia,nonbreeding,12/21/18,1/25/18,8.00E-04,53.726669,-127.647621
Charadrius vociferus,Killdeer,2019,British Columbia,postbreeding_migration,7/13/18,12/14/18,0.0011,53.726669,-127.647621
Charadrius vociferus,Killdeer,2019,British Columbia,prebreeding_migration,2/1/18,4/19/18,0.003,53.726669,-127.647621
Charadrius vociferus,Killdeer,2019,Manitoba,breeding,4/26/18,6/28/18,0.036,53.76086,-98.813873
Charadrius vociferus,Killdeer,2019,Manitoba,nonbreeding,12/21/18,1/25/18,0,53.76086,-98.813873
Charadrius vociferus,Killdeer,2019,Manitoba,postbreeding_migration,7/13/18,12/14/18,0.0098,53.76086,-98.813873
Charadrius vociferus,Killdeer,2019,Manitoba,prebreeding_migration,2/1/18,4/19/18,0.0034,53.76086,-98.813873
Charadrius vociferus,Killdeer,2019,New Brunswick,breeding,4/26/18,6/28/18,2.00E-04,46.49839,-66.159668
Charadrius vociferus,Killdeer,2019,New Brunswick,nonbreeding,12/21/18,1/25/18,0,46.49839,-66.159668
Charadrius vociferus,Killdeer,2019,New Brunswick,postbreeding_migration,7/13/18,12/14/18,0,46.49839,-66.159668
Charadrius vociferus,Killdeer,2019,New Brunswick,prebreeding_migration,2/1/18,4/19/18,0,46.49839,-66.159668
Charadrius vociferus,Killdeer,2019,Newfoundland and Labrador,breeding,4/26/18,6/28/18,0,53,-60
Charadrius vociferus,Killdeer,2019,Newfoundland and Labrador,nonbreeding,12/21/18,1/25/18,0,53,-60
Charadrius vociferus,Killdeer,2019,Newfoundland and Labrador,postbreeding_migration,7/13/18,12/14/18,0,53,-60
Charadrius vociferus,Killdeer,2019,Newfoundland and Labrador,prebreeding_migration,2/1/18,4/19/18,0,53,-60
Charadrius vociferus,Killdeer,2019,Nova Scotia,breeding,4/26/18,6/28/18,0,45,-63
Charadrius vociferus,Killdeer,2019,Nova Scotia,nonbreeding,12/21/18,1/25/18,0,45,-63
Charadrius vociferus,Killdeer,2019,Nova Scotia,postbreeding_migration,7/13/18,12/14/18,0,45,-63
Charadrius vociferus,Killdeer,2019,Nova Scotia,prebreeding_migration,2/1/18,4/19/18,0,45,-63
Charadrius vociferus,Killdeer,2019,Northwest Territories,breeding,4/26/18,6/28/18,0.0021,64.8255,-124.8457
Charadrius vociferus,Killdeer,2019,Northwest Territories,nonbreeding,12/21/18,1/25/18,0,64.8255,-124.8457
Charadrius vociferus,Killdeer,2019,Northwest Territories,postbreeding_migration,7/13/18,12/14/18,3.00E-04,64.8255,-124.8457
Charadrius vociferus,Killdeer,2019,Northwest Territories,prebreeding_migration,2/1/18,4/19/18,0,64.8255,-124.8457
Charadrius vociferus,Killdeer,2019,Nunavut,breeding,4/26/18,6/28/18,2.00E-04,70.453262,-86.798981
Charadrius vociferus,Killdeer,2019,Nunavut,nonbreeding,12/21/18,1/25/18,0,70.453262,-86.798981
Charadrius vociferus,Killdeer,2019,Nunavut,postbreeding_migration,7/13/18,12/14/18,0,70.453262,-86.798981
